customer_id,country
12346,UNITED KINGDOM
12347,ICELAND
12348,FINLAND
12349,ITALY
12350,NORWAY
12351,UNSPECIFIED
12352,NORWAY
12353,BAHRAIN
12354,SPAIN
12355,BAHRAIN
12356,PORTUGAL
12357,SWITZERLAND
12358,AUSTRIA
12359,CYPRUS
12360,AUSTRIA
12361,BELGIUM
12362,BELGIUM
12363,UNSPECIFIED
12364,BELGIUM
12365,CYPRUS
12366,CYPRUS
12367,DENMARK
12368,CYPRUS
12369,AUSTRIA
12370,AUSTRIA
12371,SWITZERLAND
12372,DENMARK
12373,AUSTRIA
12374,AUSTRIA
12375,FINLAND
12376,SWITZERLAND
12377,SWITZERLAND
12378,SWITZERLAND
12379,BELGIUM
12380,BELGIUM
12381,NORWAY
12382,N
12383,BELGIUM
12384,SWITZERLAND
12385,BELGIUM
12386,AUSTRALIA
12387,AUSTRALIA
12388,AUSTRALIA
12389,AUSTRALIA
12390,BELGIUM
12391,CYPRUS
12392,AUSTRALIA
12393,AUSTRALIA
12394,BELGIUM
12395,BELGIUM
12396,RSA
12397,BELGIUM
12398,SWITZERLAND
12399,BELGIUM
12400,AUSTRALIA
12401,BELGIUM
12402,BELGIUM
12403,DENMARK
12404,F
12405,FINLAND
12406,DENMARK
12407,BELGIUM
12408,BELGIUM
12409,SWITZERLAND
12410,SWITZERLAND
12411,AUSTRALIA
12412,DENMARK
12413,SPAIN
12414,AUSTRIA
12415,AUSTRALIA
12416,AUSTRALIA
12417,BELGIUM
12418,SWITZERLAND
12419,SPAIN
12420,CYPRUS
12421,SPAIN
12422,AUSTRALIA
12423,DENMARK
12424,AUSTRALIA
12425,PORTUGAL
12426,GERMANY
12427,GERMANY
12428,FINLAND
12429,DENMARK
12430,NORWAY
12431,BELGIUM
12432,NORWAY
12433,NORWAY
12434,AUSTRALIA
12435,DENMARK
12436,NORWAY
12437,FRANCE
12438,NORWAY
12439,CYPRUS
12440,AUSTRIA
12441,FRANCE
12442,SPAIN
12443,NORWAY
12444,NORWAY
12445,SPAIN
12446,RSA
12447,BELGIUM
12448,SPAIN
12449,DENMARK
12450,SPAIN
12451,SWITZERLAND
12452,SWITZERLAND
12453,AUSTRIA
12454,SPAIN
12455,CYPRUS
12456,SWITZERLAND
12457,SWITZERLAND
12458,SWITZERLAND
12459,SPAIN
12460,BELGIUM
12461,SWITZERLAND
12462,SPAIN
12463,BELGIUM
12464,BELGIUM
12465,BELGIUM
12466,F
12467,USA
12468,GERMANY
12469,THAILAND
12470,UNSPECIFIED
12471,GERMANY
12472,GERMANY
12473,GERMANY
12474,GERMANY
12475,GERMANY
12476,GERMANY
12477,GERMANY
12478,GREECE
12479,GERMANY
12480,GERMANY
12481,GERMANY
12482,SWEDEN
12483,SWEDEN
12484,SPAIN
12485,SWEDEN
12486,SWEDEN
12487,SWEDEN
12488,FRANCE
12489,FRANCE
12490,FRANCE
12491,FRANCE
12492,GERMANY
12493,FRANCE
12494,FRANCE
12495,SWEDEN
12496,SPAIN
12497,GERMANY
12498,GERMANY
12499,GERMANY
12500,GERMANY
12501,GERMANY
12502,SPAIN
12503,SPAIN
12504,GERMANY
12505,ITALY
12506,FRANCE
12507,SPAIN
12508,FRANCE
12509,FRANCE
12510,SPAIN
12511,GREECE
12512,ISRAEL
12513,FRANCE
12514,ITALY
