currency_code,currency_name,exchange_rate,date
AED,UAE Dirham,4.75889883,1721142002
AFN,Afghan Afghani,91.86687282,1721142002
ALL,Albanian Lek,119.42132591,1721142002
AMD,Armenian Dram,502.96098808,1721142002
ANG,Netherlands Antillian Guilder,2.31951774,1721142002
AOA,Angolan Kwanza,1145.96219137,1721142002
ARS,Argentine Peso,1195.93816327,1721142002
AUD,Australian Dollar,1.92391181,1721142002
AWG,Aruban Florin,2.31951774,1721142002
AZN,Azerbaijani Manat,2.20447786,1721142002
BAM,Bosnia and Herzegovina Convertible Mark,2.32813139,1721142002
BBD,Barbados Dollar,2.59163993,1721142002
BDT,Bangladeshi Taka,152.23211504,1721142002
BGN,Bulgarian Lev,2.32806481,1721142002
BHD,Bahraini Dinar,0.48722831,1721142002
BIF,Burundian Franc,3738.33962264,1721142002
BMD,Bermudian Dollar,1.29581997,1721142002
BND,Brunei Dollar,1.74276199,1721142002
BOB,Bolivian Boliviano,8.9815248,1721142002
BRL,Brazilian Real,7.05613493,1721142002
BSD,Bahamian Dollar,1.29581997,1721142002
BTN,Bhutanese Ngultrum,108.35664898,1721142002
BWP,Botswana Pula,17.54081104,1721142002
BYN,Belarusian Ruble,4.19264432,1721142002
BZD,Belize Dollar,2.59163993,1721142002
CAD,Canadian Dollar,1.77298269,1721142002
CDF,Congolese Franc,3669.11111111,1721142002
CHF,Swiss Franc,1.16074383,1721142002
CLP,Chilean Peso,1178.91378723,1721142002
CNY,Chinese Renminbi,9.43395179,1721142002
COP,Colombian Peso,5137.59754184,1721142002
CRC,Costa Rican Colon,676.73473186,1721142002
CUP,Cuban Peso,31.09967919,1721142002
CVE,Cape Verdean Escudo,131.25445873,1721142002
CZK,Czech Koruna,30.16587751,1721142002
DJF,Djiboutian Franc,230.29442022,1721142002
DKK,Danish Krone,8.88096329,1721142002
DOP,Dominican Peso,76.59506431,1721142002
DZD,Algerian Dinar,174.20487087,1721142002
EGP,Egyptian Pound,62.18699479,1721142002
ERN,Eritrean Nakfa,19.43729949,1721142002
ETB,Ethiopian Birr,73.52239974,1721142002
EUR,Euro,1.19028457,1721142002
FJD,Fiji Dollar,2.89477406,1721142002
FKP,Falkland Islands Pound,1.0,1721142002
FOK,Faroese Króna,8.88123014,1721142002
GBP,Pound Sterling,1.0,1721142002
GEL,Georgian Lari,3.49626571,1721142002
GGP,Guernsey Pound,1.0,1721142002
GHS,Ghanaian Cedi,20.09214081,1721142002
GIP,Gibraltar Pound,1.0,1721142002
GMD,Gambian Dalasi,83.02263399,1721142002
GNF,Guinean Franc,11214.78132671,1721142002
GTQ,Guatemalan Quetzal,10.05400219,1721142002
GYD,Guyanese Dollar,271.22792608,1721142002
HKD,Hong Kong Dollar,10.11418169,1721142002
HNL,Honduran Lempira,32.10552777,1721142002
HRK,Croatian Kuna,8.96872733,1721142002
HTG,Haitian Gourde,171.0984456,1721142002
HUF,Hungarian Forint,466.51597289,1721142002
IDR,Indonesian Rupiah,20970.58667744,1721142002
ILS,Israeli New Shekel,4.7047932,1721142002
IMP,Manx Pound,1.0,1721142002
INR,Indian Rupee,108.34332953,1721142002
IQD,Iraqi Dinar,1700.70386266,1721142002
IRR,Iranian Rial,54968.85182539,1721142002
ISK,Icelandic Króna,177.65183314,1721142002
JEP,Jersey Pound,1.0,1721142002
JMD,Jamaican Dollar,201.60570582,1721142002
JOD,Jordanian Dinar,0.91873636,1721142002
JPY,Japanese Yen,205.39190808,1721142002
KES,Kenyan Shilling,168.20692534,1721142002
KGS,Kyrgyzstani Som,110.95997988,1721142002
KHR,Cambodian Riel,5354.91891892,1721142002
KID,Kiribati Dollar,1.92391133,1721142002
KMF,Comorian Franc,585.61611337,1721142002
KRW,South Korean Won,1795.24122209,1721142002
KWD,Kuwaiti Dinar,0.39594124,1721142002
KYD,Cayman Islands Dollar,1.07984954,1721142002
KZT,Kazakhstani Tenge,615.43340367,1721142002
LAK,Lao Kip,28370.54161498,1721142002
LBP,Lebanese Pound,115975.88698088,1721142002
LKR,Sri Lanka Rupee,391.41024142,1721142002
LRD,Liberian Dollar,252.71280614,1721142002
LSL,Lesotho Loti,23.48004163,1721142002
LYD,Libyan Dinar,6.26494443,1721142002
MAD,Moroccan Dirham,12.74655922,1721142002
MDL,Moldovan Leu,22.91618168,1721142002
MGA,Malagasy Ariary,5829.36387079,1721142002
MKD,Macedonian Denar,73.1691,1721142002
MMK,Burmese Kyat,3388.69902844,1721142002
MNT,Mongolian Tögrög,4381.31227888,1721142002
MOP,Macanese Pataca,10.41877088,1721142002
MRU,Mauritanian Ouguiya,51.53648069,1721142002
MUR,Mauritian Rupee,60.30630517,1721142002
MVR,Maldivian Rufiyaa,20.02662024,1721142002
MWK,Malawian Kwacha,2263.18748947,1721142002
MXN,Mexican Peso,22.97097235,1721142002
MYR,Malaysian Ringgit,6.06201068,1721142002
MZN,Mozambican Metical,82.82629728,1721142002
NAD,Namibian Dollar,23.48004163,1721142002
NGN,Nigerian Naira,2067.21144966,1721142002
NIO,Nicaraguan Córdoba,47.71377109,1721142002
NOK,Norwegian Krone,14.02017318,1721142002
